district,population,output,input,spearman_rho,p_value,abs_rho,expected_sign,sign_matches,distinguishable_from_zero,sign_consistent,rank
Rajshahi,adult,HI,C_mg_per_L,0.9977253272452533,0.0,0.9977253272452533,1,True,True,True,1.0
Rajshahi,adult,HI,IR_L_per_day,0.06337588652175886,2.2508001714169647e-10,0.06337588652175886,1,True,True,True,2.0
Rajshahi,adult,HI,BW_kg,-0.02174678191346782,0.029655342728052054,0.02174678191346782,-1,True,False,True,3.0
Rajshahi,adult,HI,EF_days_per_year,0.01352453791524538,0.17626447332580147,0.01352453791524538,1,True,False,True,5.0
Rajshahi,adult,HI,ET_h_per_day,0.0016058374840583747,0.8724369857967939,0.0016058374840583747,1,True,False,True,6.0
Rajshahi,adult,HI,SA_m2,0.020913437393134372,0.036500193720334306,0.020913437393134372,1,True,False,True,4.0
Rajshahi,adult,ELCR,C_mg_per_L,0.9977143504011435,0.0,0.9977143504011435,1,True,True,True,1.0
Rajshahi,adult,ELCR,IR_L_per_day,0.06353465079534651,2.0294475947185064e-10,0.06353465079534651,1,True,True,True,2.0
Rajshahi,adult,ELCR,BW_kg,-0.02174707096947071,0.029653174605319233,0.02174707096947071,-1,True,False,True,3.0
Rajshahi,adult,ELCR,EF_days_per_year,0.013520586675205868,0.17639085000703078,0.013520586675205868,1,True,False,True,5.0
Rajshahi,adult,ELCR,ET_h_per_day,0.0015390966993909668,0.877696058013622,0.0015390966993909668,0,True,False,True,6.0
Rajshahi,adult,ELCR,SA_m2,0.020835704500357044,0.037202380238592465,0.020835704500357044,0,True,False,True,4.0
Rajshahi,child,HI,C_mg_per_L,0.9971650784396509,0.0,0.9971650784396509,1,True,True,True,1.0
Rajshahi,child,HI,IR_L_per_day,0.05397732745177328,6.627212876321278e-08,0.05397732745177328,1,True,True,True,2.0
Rajshahi,child,HI,BW_kg,-0.026848393552483932,0.0072532476334328366,0.026848393552483932,-1,True,False,True,3.0
Rajshahi,child,HI,EF_days_per_year,0.019271820036718203,0.05396467089125794,0.019271820036718203,1,True,False,True,4.0
Rajshahi,child,HI,ET_h_per_day,-0.00019412155394121552,0.9845142493170828,0.00019412155394121552,1,False,False,True,6.0
Rajshahi,child,HI,SA_m2,0.006742208431422085,0.5002196270794325,0.006742208431422085,1,True,False,True,5.0
Rajshahi,child,ELCR,C_mg_per_L,0.9971598543595984,0.0,0.9971598543595984,1,True,True,True,1.0
Rajshahi,child,ELCR,IR_L_per_day,0.05405182172451821,6.356889953211857e-08,0.05405182172451821,1,True,True,True,2.0
Rajshahi,child,ELCR,BW_kg,-0.026847939556479395,0.0072542333457601155,0.026847939556479395,-1,True,False,True,3.0
Rajshahi,child,ELCR,EF_days_per_year,0.019268546688685467,0.05400547428752143,0.019268546688685467,1,True,False,True,4.0
Rajshahi,child,ELCR,ET_h_per_day,-0.00022274537022745372,0.9822311812743845,0.00022274537022745372,0,True,False,True,6.0
Rajshahi,child,ELCR,SA_m2,0.006708344323083443,0.5023746311547578,0.006708344323083443,0,True,False,True,5.0
Khulna,adult,HI,C_mg_per_L,0.9916364073283641,0.0,0.9916364073283641,1,True,True,True,1.0
Khulna,adult,HI,IR_L_per_day,0.09820047806200477,7.376701162089694e-23,0.09820047806200477,1,True,True,True,2.0
Khulna,adult,HI,BW_kg,-0.05323972252039722,9.980161116162004e-08,0.05323972252039722,-1,True,True,True,3.0
Khulna,adult,HI,EF_days_per_year,0.0212839601008396,0.03330633388135289,0.0212839601008396,1,True,False,True,4.0
Khulna,adult,HI,ET_h_per_day,0.0013243654332436546,0.8946520599837129,0.0013243654332436546,1,True,False,True,6.0
Khulna,adult,HI,SA_m2,-0.010084993588849936,0.31326298616253173,0.010084993588849936,1,False,False,True,5.0
Khulna,adult,ELCR,C_mg_per_L,0.9915939009879391,0.0,0.9915939009879391,1,True,True,True,1.0
