district,population,statistic,primary_value,outer_replicates,param_unc_median,param_unc_q025,param_unc_q975,interval_width_over_primary
Comilla,adult,P95_HI,51.33839908331366,1000,52.938481540628544,40.647862539491236,65.13474093366378,0.47697004252965547
Comilla,adult,P_HI_gt_1,0.7229,1000,0.7122,0.6107925,0.8492274999999999,0.3298312353022547
Comilla,adult,P_HI_gt_2,0.6254,1000,0.61425,0.521195,0.758,0.3786456667732652
Comilla,adult,P95_ELCR,0.023033887440399255,1000,0.02376538174658653,0.018229595430028105,0.029248465873256083,0.4783764994831886
Comilla,child,mean_HI,63.18176861226852,1000,64.63490461091706,53.029727601255395,76.95056913986103,0.37860354440854843
Comilla,child,P50_HI,20.550179669594765,1000,20.073500636559903,11.449408928821503,31.834899589489837,0.9919860063719977
Comilla,child,P95_HI,259.5923675834967,1000,267.4984812537433,211.97976272458567,329.82236657955127,0.45395249849578906
Comilla,child,P_HI_gt_1,0.8514,1000,0.8401,0.7474400000000001,0.95183,0.2400634249471457
Comilla,child,P_HI_gt_2,0.801,1000,0.79035,0.694595,0.9166724999999999,0.27725031210986256
Comilla,child,P95_ELCR,0.01000006548980059,1000,0.010309252076803874,0.008161586329824467,0.012698525574209142,0.453690953225462
Bogra,adult,mean_HI,3.8282083818182007,1000,1.5805747965299188,0.2176549371943813,9.786107998328003,2.499459827364231
Bogra,adult,P50_HI,0.04892305615512556,1000,0.06258394350235964,0.038226213687584276,0.10225147337657205,1.30869297056946
Bogra,adult,P95_HI,6.569588446862367,1000,4.1063631628086,0.8165212469420007,13.844638049338702,1.9830948175481105
Bogra,adult,P_HI_gt_1,0.1553,1000,0.1362,0.038262500000000005,0.2159,1.1438345138441726
Bogra,adult,P_HI_gt_2,0.1061,1000,0.0869,0.0163825,0.15391,1.2962064090480678
Bogra,adult,P95_ELCR,0.002951429867048944,1000,0.0018413830524704488,0.00036699421347611677,0.006216283639810319,1.9818493712617844
Bogra,child,mean_HI,16.042191862718905,1000,7.273606466741175,1.1080917850091738,38.51123655368878,2.331548275245497
Bogra,child,P50_HI,0.2477604320451232,1000,0.3185534601267601,0.19517005783171623,0.5217524625304223,1.3181378560044947
Bogra,child,P95_HI,33.266297294912235,1000,21.133506750409097,4.488437850541688,69.68793951954761,1.9599266215593394
Bogra,child,P_HI_gt_1,0.3238,1000,0.32925,0.21277749999999998,0.4055075,0.5952130945027797
Bogra,child,P_HI_gt_2,0.2459,1000,0.2372,0.11758249999999999,0.3185175,0.8171411142740953
Bogra,child,P95_ELCR,0.0012824357603376153,1000,0.0008142040826918516,0.00017289237862411672,0.0026839645709024248,1.9580491046329218
